edge_type,epoch,train_auc,train_aupr,val_auc,val_aupr
chemical-connects-disease,1,0.7276990008677883,0.703377401028056,0.7404799767449814,0.7369557833620495
chemical-connects-disease,2,0.7898059846405732,0.7757557181683485,0.7536079477446052,0.7818558752952431
chemical-connects-disease,3,0.7466708506463526,0.737826549851437,0.7845961150439451,0.8061883611276661
chemical-connects-disease,4,0.8333551081956841,0.8306400440751264,0.7737252487945008,0.8010165536444522
chemical-connects-disease,5,0.8473506671924694,0.8227046972905329,0.8172001641530727,0.814361125406718
chemical-connects-disease,6,0.8345774394258062,0.7740747253926046,0.7988269895010429,0.7686559477190794
chemical-connects-disease,7,0.7606394248443965,0.6922312907297695,0.7990492801203789,0.7843496420325324
chemical-connects-disease,8,0.805294056825177,0.7560517373481364,0.7848739783181149,0.7491926209879579
chemical-connects-disease,9,0.8195879180773572,0.7606780903795833,0.798373858623166,0.7532819903352941
chemical-connects-disease,10,0.8019225600398413,0.7482742634689703,0.7494100748948395,0.7166590677775533
chemical-connects-disease,11,0.8368533800998598,0.8030795834294877,0.8295201942478028,0.8122365178155413
chemical-connects-disease,12,0.8108345570004447,0.7586937814523694,0.802007455285387,0.7441152624226679
chemical-connects-disease,13,0.8059738199360488,0.6981569672678155,0.804987004548408,0.7637520641389681
chemical-connects-disease,14,0.8509439870387471,0.8171116007071788,0.8100868643343251,0.7673543406792931
chemical-connects-disease,15,0.8640838473803905,0.8271821500158157,0.801742416470025,0.751050652419595
chemical-connects-disease,16,0.8261060160604974,0.7666398318285094,0.8501932218460382,0.8237751479353198
chemical-connects-disease,17,0.8320375954353476,0.7649910157141572,0.8506976505591465,0.8288599995641853
chemical-connects-disease,18,0.8156363817071919,0.7608411312393585,0.8047860880270852,0.7166541352896592
chemical-connects-disease,19,0.8037261999418626,0.7242559782915864,0.7858400875483056,0.7057729156690105
chemical-connects-disease,20,0.7880641960346773,0.7080434435473594,0.7727591395643103,0.6970569270697173
chemical-connects-disease,21,0.7889957059437093,0.6999599820690292,0.7728104373995418,0.6575631326109128
chemical-connects-disease,22,0.8508707807530522,0.8008805509673972,0.847158099928183,0.817474390385357
chemical-connects-disease,23,0.8702670399652884,0.8284055418655017,0.8607776751821072,0.8426219266841428
chemical-connects-disease,24,0.820396794099039,0.7503573226616582,0.8709602954755309,0.8453401366957238
chemical-connects-disease,25,0.8630234249427173,0.8158030271770466,0.870507164597654,0.8540608674493311
chemical-connects-disease,26,0.8510456475924216,0.7856675441830538,0.8527068157723745,0.8245204463222657
chemical-connects-disease,27,0.8884865882878492,0.8528016296325576,0.8251513286139325,0.7616731712711653
chemical-connects-disease,28,0.8832439896036387,0.8479221527598595,0.8613590506480626,0.8294058896575804
chemical-connects-disease,29,0.886944513910263,0.8686916416560578,0.8750897712116548,0.8468906486096119
chemical-connects-disease,30,0.8935262666290483,0.8761366469700287,0.8608717212133647,0.8525473487224711
chemical-connects-disease,31,0.8956379607186827,0.8797296941468454,0.8825279573202011,0.8803771411971067
chemical-connects-disease,32,0.8940384434526862,0.8733394517933697,0.8392838822201705,0.8295145516775965
chemical-connects-disease,33,0.8968260265979275,0.8918042097251627,0.8710543415067884,0.8677737396251699
chemical-connects-disease,34,0.8836096202677747,0.8695331442260876,0.8904962210594713,0.8936294427432988
chemical-connects-disease,35,0.8821185097551383,0.8809358208291771,0.876722752299853,0.8790904002974473
chemical-connects-disease,36,0.8933208081118977,0.883888676608633,0.8716870148079751,0.8753522588559937
chemical-connects-disease,37,0.9006217992288226,0.8966173030838624,0.8647960056085633,0.875891340870409
chemical-connects-disease,38,0.887046040875825,0.8794687593059444,0.8702164768646763,0.8774307571667395
chemical-connects-disease,39,0.900957906920078,0.8912023665936245,0.8804760439109469,0.8846588457552239
chemical-connects-disease,40,0.9140773282804965,0.9046155105796948,0.8858879655278548,0.8926797249778051
chemical-connects-disease,41,0.9221928061198318,0.9120413977186,0.8990800588215176,0.91256873683359
chemical-connects-disease,42,0.9131661237645772,0.903673132904502,0.8874952976984372,0.8882135619908442
chemical-connects-disease,43,0.9133950269954858,0.8977929789277433,0.8696692999555418,0.8762831508792435
chemical-connects-disease,44,0.9112317678943949,0.8869787143494593,0.8958055470059163,0.9025839959766909
