edge_type,epoch,train_auc,train_aupr,val_auc,val_aupr
chemical-connects-disease,1,0.7173200060488697,0.6802729775796597,0.7310796484388358,0.6999285540054443
chemical-connects-disease,2,0.7883403894574399,0.7920061224206916,0.7800690810847782,0.786796711274683
chemical-connects-disease,3,0.8284634454832256,0.8382507603448626,0.8038627269929208,0.8234058830734077
chemical-connects-disease,4,0.8510720980387128,0.858901485026924,0.8137375602749564,0.8364796648338488
chemical-connects-disease,5,0.863613817606272,0.869727512888051,0.8170035224513525,0.8425963006777893
chemical-connects-disease,6,0.8703367729600561,0.8756959960517036,0.8170890188434048,0.845690184290314
chemical-connects-disease,7,0.8741843109845764,0.8794546167839021,0.8171488663178413,0.8482556250569329
chemical-connects-disease,8,0.8773289083606923,0.8820768819513226,0.8160545124995725,0.8490618737000514
chemical-connects-disease,9,0.8813913896583564,0.8850064789868818,0.8166700865223487,0.8503677497629158
chemical-connects-disease,10,0.8865959825245374,0.8886130560197607,0.8195427652953045,0.8528664711824769
chemical-connects-disease,11,0.8926228102236585,0.8927923577691128,0.8223555965938236,0.8551842673985539
chemical-connects-disease,12,0.8985952675609591,0.8970936631011277,0.8265534694435894,0.8583015392209622
chemical-connects-disease,13,0.9038463490903184,0.9010378269842189,0.8305547005916352,0.861109242987084
chemical-connects-disease,14,0.9077281524657159,0.9039086423215152,0.8341028008618037,0.8632736399441467
chemical-connects-disease,15,0.9105969571834068,0.9059736193878282,0.8374371601518416,0.8650413588800265
chemical-connects-disease,16,0.9130618582427072,0.9077605106210836,0.840104647583872,0.8658442717063808
chemical-connects-disease,17,0.9154047933552205,0.9093733948572995,0.8423788516124621,0.8668572633195596
chemical-connects-disease,18,0.9174358670189118,0.9104937749217684,0.8440973290927123,0.867004943628354
chemical-connects-disease,19,0.9190396591045108,0.9114025866903139,0.8446359563626414,0.8661635668995868
chemical-connects-disease,20,0.9207131841848774,0.9128282712435459,0.8455593173968059,0.8663531578255917
chemical-connects-disease,21,0.9225528260832393,0.9146841688679743,0.8465168769877911,0.867310095166271
chemical-connects-disease,22,0.9246213044184534,0.9166842049068734,0.8472948941554667,0.8680428705472749
chemical-connects-disease,23,0.9264554024101432,0.9186787480560088,0.8478078725077802,0.8684572495427647
chemical-connects-disease,24,0.9280350818414211,0.9204537144585767,0.8486628364283028,0.8695032591383485
chemical-connects-disease,25,0.9296954484926987,0.9220742998522813,0.8491843644198216,0.8692836738125522
