seed,test_auc_overall,test_aupr_overall,biomarker-connects-disease_auc,biomarker-connects-disease_aupr
72,0.9285766203140197,0.9143210639521404,0.9285766203140197,0.9143210639521404
13,0.8714761047162943,0.8777902249649647,0.8714761047162943,0.8777902249649647
98,0.9081274999682727,0.9008459563868252,0.9081274999682727,0.9008459563868252
69,0.9010396176108524,0.8856621381303964,0.9010396176108524,0.8856621381303964
81,0.9086080245880929,0.8898419241587785,0.9086080245880929,0.8898419241587785
42,0.9112131256482467,0.8916611176304758,0.9112131256482467,0.8916611176304758
30,0.8941570975159243,0.8891001386951578,0.8941570975159243,0.8891001386951578
84,0.9260592020176266,0.92148570398543,0.9260592020176266,0.92148570398543
50,0.8950581532856232,0.8773376529214728,0.8950581532856232,0.8773376529214728
92,0.9239709677754306,0.9051882888237138,0.9239709677754306,0.9051882888237138
