edge_type,epoch,train_auc,train_aupr,val_auc,val_aupr
biomarker-connects-disease,1,0.6131756809309586,0.5413186273094754,0.6163775250616951,0.5684161885192103
biomarker-connects-disease,2,0.6682545436084681,0.6040314807190483,0.644106622240733,0.6057772698371127
biomarker-connects-disease,3,0.6725589504271318,0.6264265038955242,0.64729031416965,0.6044544769627688
biomarker-connects-disease,4,0.6968611276643277,0.650549422532039,0.6595907060885297,0.6356585595354775
biomarker-connects-disease,5,0.6891422223906267,0.6546566531011604,0.6730211673114043,0.6517958784608587
biomarker-connects-disease,6,0.7038044360326908,0.6700181078263695,0.6869534969847513,0.656049178230421
biomarker-connects-disease,7,0.6991731450203192,0.6614376215500164,0.6954114225259329,0.690476109131606
biomarker-connects-disease,8,0.7047651899858595,0.6771146112226607,0.6854386618687274,0.6616456170323091
biomarker-connects-disease,9,0.682983664476295,0.6784942082615868,0.7161876226549189,0.707353744054671
biomarker-connects-disease,10,0.6896435635113941,0.6838643669979143,0.7080654298012947,0.6955128415096337
biomarker-connects-disease,11,0.6888931253774153,0.6913288250174751,0.7106999507361313,0.6946049831725839
biomarker-connects-disease,12,0.6995066830706411,0.6984278607489057,0.7204229308886764,0.7075235125044853
biomarker-connects-disease,13,0.7024687282676276,0.7184423454436917,0.7145643378047697,0.699599905982358
biomarker-connects-disease,14,0.6957129777304951,0.705837856603762,0.7200514328632691,0.7201731604025956
biomarker-connects-disease,15,0.7103005962448978,0.7208342023084984,0.7208428851782671,0.7174216788805777
biomarker-connects-disease,16,0.713723016385985,0.7198176760374528,0.7211786178658246,0.7149373240545105
biomarker-connects-disease,17,0.7144109352428871,0.725432107230809,0.7538335250432358,0.7364869110956742
biomarker-connects-disease,18,0.7318516555397698,0.7351741092380742,0.7502800656697751,0.7355655295687051
biomarker-connects-disease,19,0.7413278533369154,0.734761768695191,0.7241206053341116,0.7177363266105148
biomarker-connects-disease,20,0.7398117810991233,0.7466887794702339,0.7514476308924837,0.7329746752379338
biomarker-connects-disease,21,0.7554209644211274,0.7541650796591545,0.764340458327036,0.7494407706107344
biomarker-connects-disease,22,0.7531517115814277,0.7444661506509436,0.7587633730636242,0.7473351715814764
biomarker-connects-disease,23,0.7583178108149952,0.7537893516193016,0.7548072652092099,0.7460338263151689
biomarker-connects-disease,24,0.7658890094635644,0.7553690827785142,0.7499547164674,0.7415841633219415
biomarker-connects-disease,25,0.7673621103760078,0.7662914384225867,0.7735932973449429,0.7629523042925175
biomarker-connects-disease,26,0.7679666402244802,0.7570108505506716,0.7610661993329187,0.7540159525087272
biomarker-connects-disease,27,0.7643423924272351,0.7554953333654837,0.7788600317734646,0.7679246674813182
biomarker-connects-disease,28,0.7761606668272105,0.7690932570948746,0.7688324693889088,0.7576684450694424
biomarker-connects-disease,29,0.7803635663657188,0.7741820423258696,0.774832393243351,0.7677829705420729
biomarker-connects-disease,30,0.7809020971499392,0.7738160286499869,0.785643908759162,0.7744693729014338
biomarker-connects-disease,31,0.7775447409364986,0.7729407399638003,0.7851697296025086,0.7741229985532422
biomarker-connects-disease,32,0.777948495157494,0.7760119496051137,0.7883470760682587,0.781085614116184
biomarker-connects-disease,33,0.7874951608928606,0.777345321423109,0.7805363877701004,0.7771559536352874
biomarker-connects-disease,34,0.7949214673178118,0.7825267435653234,0.7839144816160395,0.7791116593696881
biomarker-connects-disease,35,0.781751614805579,0.7793184329388946,0.7843194375381448,0.7820695545769807
biomarker-connects-disease,36,0.7921861028306063,0.7885906365714724,0.7884878299785062,0.7788996799594247
biomarker-connects-disease,37,0.7921357043626047,0.786267468282676,0.7903960838108774,0.78934355513876
biomarker-connects-disease,38,0.7977193241069999,0.7922900299736257,0.7848132299445867,0.7903129638104998
