Dimentions,test_auc_overall,test_aupr_overall,biomarker-connects-disease_auc,biomarker-connects-disease_aupr
16,0.9225876568050477,0.932532113106234,0.9225876568050477,0.932532113106234
32,0.9117703726863577,0.9244315171848735,0.9117703726863577,0.9244315171848735
48,0.8854390079849,0.8959642748240235,0.8854390079849,0.8959642748240235
64,0.9189488221089782,0.9130944016577187,0.9189488221089782,0.9130944016577187
96,0.9036412575092788,0.9089512869131262,0.9036412575092788,0.9089512869131262
128,0.8970581279037705,0.9052519630950328,0.8970581279037705,0.9052519630950328
