Dimentions,test_auc_overall,test_aupr_overall,biomarker-connects-disease_auc,biomarker-connects-disease_aupr
16,0.8902217566318743,0.8769915981671433,0.8902217566318743,0.8769915981671433
32,0.9001997090316708,0.8946152726831392,0.9001997090316708,0.8946152726831392
48,0.8989144643102309,0.8892427282466933,0.8989144643102309,0.8892427282466933
64,0.8966404810553313,0.897996585714802,0.8966404810553313,0.897996585714802
96,0.9000647237243022,0.892036922327462,0.9000647237243022,0.892036922327462
128,0.9121972492994033,0.9028123751959669,0.9121972492994033,0.9028123751959669
