epoch,train_auc_overall,train_aupr_overall,val_auc_overall,val_aupr_overall,loss
1,0.6056050397676732,0.5441922449722202,0.6158727723097832,0.5889997361893381,0.692785382270813
2,0.6288115516130037,0.5766801025735855,0.6015464470598008,0.5370515149459736,0.6902523636817932
3,0.6584201255496422,0.5999805387206791,0.6546995077074304,0.6150391541714153,0.6887420415878296
4,0.6975489566042485,0.6249063587449784,0.7023706650391515,0.6761328415154726,0.6850564479827881
5,0.6978527591088645,0.6405537210903788,0.6951327990068774,0.6346009471458193,0.6820516586303711
6,0.7108611027393408,0.6844230363836249,0.7112779647446067,0.6919863151484983,0.6763446927070618
7,0.6998015388356207,0.6720041281639051,0.703537653401572,0.6663687729124861,0.6684247255325317
8,0.6757746873950725,0.6895316601056909,0.7052013184718741,0.6971706471032069,0.6612816452980042
9,0.7141260692545266,0.7043529095373304,0.7318384191259183,0.7148314731014289,0.6552652716636658
10,0.6822066019241622,0.6894494324392506,0.7061416007411501,0.6937888480600495,0.635990560054779
11,0.7045881614331357,0.698882641717087,0.7030288626276449,0.6950316133251073,0.6304630041122437
12,0.7063650918252894,0.710507171750155,0.722249847420454,0.7066036286582602,0.6215927600860596
13,0.7063835877483365,0.7248034870681466,0.7264736184484535,0.724740530045251,0.6217662692070007
14,0.717720086962669,0.7192160434393284,0.721016520124925,0.7083313523123731,0.6154756546020508
15,0.7264049793578485,0.7283124621836657,0.7324095108109385,0.7152137276443641,0.6198952794075012
16,0.729806664643055,0.7298688668561234,0.7450335213513298,0.7256676582018653,0.61184161901474
17,0.7450574568611144,0.7418576857698216,0.7484335358882092,0.7308933465169023,0.614526093006134
18,0.7372382761699012,0.7388747715342846,0.7603503157156357,0.736877489821991,0.5989536046981812
19,0.756059141203991,0.7485609355293653,0.7443978213140646,0.7358125703356211,0.6048950552940369
20,0.7354303244192095,0.7356827334162416,0.7604033868621224,0.7474748853811943,0.5993242263793945
21,0.7643112272015269,0.7531241152107899,0.7404532506654083,0.7299643987263834,0.5910411477088928
22,0.7510055460973881,0.7453004927008693,0.7686317220087199,0.7507919870804608,0.5939068794250488
23,0.7555885067323272,0.7479565106253154,0.7707107264863094,0.7585536357563035,0.5882086157798767
24,0.7746115141320092,0.7588042892195537,0.7575283151872316,0.7550499168457903,0.5862805247306824
25,0.7720956280043849,0.7686280865583599,0.7751502432619835,0.7606906788739356,0.5809962749481201
26,0.783266041562614,0.7731536942073799,0.7740853591705209,0.7501998841029355,0.5726398825645447
27,0.7762269266507081,0.7691179710871286,0.777366540488093,0.7719084022396041,0.5767422318458557
28,0.7912430805061441,0.7739933815486922,0.7817449100732498,0.7617989112286371,0.5808591842651367
29,0.7906912240252995,0.7815715839501085,0.7661662211382376,0.7508059837471035,0.5754877924919128
30,0.7812669263097429,0.7757065747672212,0.7831005317498135,0.7680650646704157,0.5756515860557556
31,0.7837884772071873,0.7787433992828467,0.7747464410604539,0.7688829174594111,0.5580784678459167
32,0.780479793055708,0.7763920377145899,0.7961185378668398,0.7743319057819003,0.5554848909378052
33,0.7881302625149647,0.7775257182669256,0.7882818908557262,0.7801038414788507,0.5480765104293823
34,0.79553773133234,0.7917032317936502,0.7844192343679516,0.7779814124869346,0.5552049279212952
35,0.7977783096467128,0.7851539654937981,0.7698004409520041,0.7750039784241304,0.5344661474227905
36,0.7781676498159426,0.7779776966912195,0.7813491839157507,0.7935694278114264,0.5615590810775757
37,0.7895703189367914,0.788581184193397,0.791288486676258,0.7789009006757672,0.5459166765213013
38,0.8173835115167198,0.8037699332537587,0.7821256378632634,0.7647452844056106,0.5391291975975037
39,0.7896159787798801,0.7884651366185752,0.8042643819922677,0.7926786611692029,0.5603245496749878
40,0.8339353664869592,0.7994529603733196,0.7925022007219983,0.7849586311648213,0.5495506525039673
41,0.8128483057905331,0.8015241147440368,0.7969336414536418,0.7918467797309587,0.541408360004425
42,0.7862440200486814,0.783202445049545,0.779529766567716,0.7863235647017291,0.5398953557014465
43,0.7962954707251979,0.7969591017298767,0.778352971580401,0.7771500762700688,0.5493239164352417
44,0.8117282639050452,0.8046387612991236,0.7756463431095769,0.7698604502627575,0.5443094968795776
45,0.7976684041205068,0.7974193393214748,0.7928506243358896,0.788791554369795,0.5498424172401428
46,0.819130157869582,0.8000448663335658,0.7859513752926124,0.7798118557953522,0.5318742394447327
47,0.8083692352357531,0.8062381327626871,0.8016073635062029,0.791129654150903,0.5272661447525024
48,0.8229525377350548,0.802860778527113,0.7901428421444897,0.7867737744248725,0.5378844738006592
49,0.813676719930669,0.8019892681501151,0.8007374581920507,0.7922825726687565,0.5394631624221802
50,0.8216104638477177,0.8039333018846593,0.8042863026832079,0.797821496806392,0.5184354782104492
51,0.8152220781292607,0.8077849029167924,0.7888760569522624,0.786945853735024,0.5376708507537842
52,0.8338275560264169,0.8112824026905312,0.7927606341309773,0.7901577874299206,0.5085505247116089
53,0.8132888180734715,0.8025376603046219,0.7881780560039043,0.7855410953937545,0.5223407745361328
54,0.8270870284342131,0.8155446321035136,0.7912688734264693,0.7868206631572674,0.5155290961265564
55,0.8286341849724301,0.8205580609801624,0.8022615230726808,0.7996931596850977,0.5325994491577148
56,0.8264671857238306,0.8092080981559162,0.7985015477161524,0.7920117483641003,0.5358858108520508
57,0.8246621203082376,0.8171714604418073,0.8060826456197269,0.7918340742758421,0.526844322681427
58,0.8254820193102472,0.8171521508602613,0.8083554751540506,0.8040792718558578,0.5145078301429749
59,0.8371698151787021,0.8178193153923787,0.8052831172606981,0.8070443594014023,0.5017189979553223
60,0.8101525857003693,0.8123514958997375,0.8156123775758254,0.7973277030091511,0.5204607248306274
61,0.837552286050231,0.8257654946010204,0.7930352196280175,0.7954972505719413,0.5136982202529907
62,0.828749467534116,0.8120123154323724,0.8092426862768398,0.7981823029397391,0.5075349807739258
63,0.8338807688959322,0.8221553864425961,0.8086589036654857,0.7937385994325323,0.519258439540863
64,0.8439569377505998,0.825199931424303,0.8011914472386275,0.8065005079497916,0.5121368169784546
65,0.8237326214977583,0.8189395402270212,0.8040993999499285,0.7951953524257492,0.49364015460014343
66,0.8242360846592837,0.8202067913237199,0.8085458390490573,0.8003283320644432,0.5365923643112183
67,0.8310151057111689,0.8252845280454939,0.812684234754448,0.7912350041801306,0.5346779823303223
