edge_type,epoch,train_auc,train_aupr,val_auc,val_aupr
chemical-connects-disease,1,0.6730679892650289,0.7195315925201896,0.6302061385780997,0.6762540903544403
chemical-connects-disease,2,0.711578060820363,0.7588211700577469,0.6625330019521676,0.7146543529734984
chemical-connects-disease,3,0.7426822054149441,0.7823512313005611,0.6867587998039233,0.7350860768447862
chemical-connects-disease,4,0.7677985622090244,0.7995588472877315,0.7061944771716789,0.7480083334939022
chemical-connects-disease,5,0.7877064526802335,0.8129805288335246,0.7221472123562749,0.7605453907619493
chemical-connects-disease,6,0.8042709945222236,0.8236254470338245,0.7354167920812515,0.7697081122326639
chemical-connects-disease,7,0.8170161325361202,0.832158636486733,0.7459602170603967,0.7775671496966889
chemical-connects-disease,8,0.8264261435986218,0.8387543958789274,0.7539838838675277,0.7835061879776918
chemical-connects-disease,9,0.8334680440762142,0.8439289434692901,0.7606745728020915,0.7888761951815524
chemical-connects-disease,10,0.8389467562807269,0.8480121760425396,0.766591274584842,0.7927788972373462
chemical-connects-disease,11,0.8433954192554369,0.8513068563656254,0.771080400065359,0.7960628369646777
chemical-connects-disease,12,0.8469405666273409,0.8539668844371625,0.7749589356816677,0.7988575237245585
chemical-connects-disease,13,0.8499233646046743,0.8561867667418119,0.7782870804344648,0.8033505562130323
chemical-connects-disease,14,0.8523905363809243,0.8579778639154712,0.7809014370361452,0.8065504841101707
chemical-connects-disease,15,0.8542175536163683,0.859346950953084,0.7830600012039801,0.8091896768667055
chemical-connects-disease,16,0.8552889786069269,0.8600325567086706,0.7847627729379693,0.8110688497857297
chemical-connects-disease,17,0.855695650866117,0.860202219209865,0.7854937608035706,0.8115755387753253
chemical-connects-disease,18,0.85579611575855,0.860210250790135,0.7859409533801738,0.8124501970385449
chemical-connects-disease,19,0.8556843544144729,0.8602265001766007,0.7858205553787808,0.8129832083527821
chemical-connects-disease,20,0.85546998920487,0.8601912601959146,0.7858635546649927,0.8130524373038424
chemical-connects-disease,21,0.8553423192484184,0.8603821914295423,0.7862677479553839,0.8141923257909768
