metric,mean,std
seed,63.1,28.179779984946652
test_auc_overall,0.9403681928546653,0.007635363540068131
test_aupr_overall,0.9353197982685296,0.010023365203524965
chemical-connects-disease_auc,0.9238400942544354,0.014035852629648491
chemical-connects-disease_aupr,0.9343372006153133,0.010272555746141557
genetic-connects-disease_auc,0.956024460117419,0.008447236004365755
genetic-connects-disease_aupr,0.93608652519958,0.015514157842717992
protein-connects-disease_auc,0.8521331945889697,0.05518348850940769
protein-connects-disease_aupr,0.8491289688706715,0.06413386197611806
