seed,test_auc_overall,test_aupr_overall,chemical-connects-disease_auc,chemical-connects-disease_aupr,genetic-connects-disease_auc,genetic-connects-disease_aupr,protein-connects-disease_auc,protein-connects-disease_aupr
72,0.9389704012024512,0.9342709534350542,0.933695100661329,0.9459086939334042,0.9496473580760781,0.9230357831997174,0.8064516129032259,0.8214520141204555
13,0.9296305931321539,0.9188339983001261,0.914087426148726,0.9238513251305507,0.9524800554977455,0.928470710825723,0.7970863683662851,0.7468917574038062
98,0.9379038039079662,0.9323610926813916,0.913786431145243,0.9246831122555772,0.9568607803085778,0.9359852548159722,0.8324661810613944,0.8338149619207547
69,0.9406729101630246,0.9335011246078314,0.9315279366362519,0.9373678990968763,0.9520400560116135,0.9323403951745594,0.8647242455775234,0.8769564620992998
81,0.9423176089721355,0.9412784399412688,0.9301519594774726,0.9445404302222424,0.951140786988862,0.9355179698305596,0.9334027055150884,0.9514122652074886
42,0.9539114348479593,0.9549893115495072,0.9281653924544854,0.941502574629485,0.9783950617283951,0.9741091850179859,0.7658688865764829,0.7801156360513607
30,0.9500069372181754,0.9437927791094338,0.9393194072978388,0.9360178090679243,0.9586336249534306,0.9500711681837001,0.931321540062435,0.9384973757781317
84,0.9372863914903456,0.9280499502378033,0.9242266578374798,0.9307989086976906,0.9497854601045722,0.9243909320089233,0.8397502601456815,0.8482881885131635
50,0.9301040582726326,0.9274915790215932,0.891366603314385,0.9155129110488571,0.9566455980781337,0.9246334164103374,0.8855359001040582,0.8749414273600048
92,0.942877789339808,0.9386287538012875,0.9320740275711423,0.9431883420705264,0.9546158194267802,0.9323104365283217,0.8647242455775235,0.8189196002522486
