seed,test_auc_overall,test_aupr_overall,biomarker-connects-disease_auc,biomarker-connects-disease_aupr
72,0.9280187964156209,0.9205555614554151,0.9280187964156209,0.9205555614554151
13,0.9228922390370586,0.9143593391571045,0.9228922390370586,0.9143593391571045
98,0.9208859189557443,0.9144535458433163,0.9208859189557443,0.9144535458433163
69,0.9363607730389347,0.9281229037954632,0.9363607730389347,0.9281229037954632
81,0.9214466271555828,0.9251013538476316,0.9214466271555828,0.9251013538476316
42,0.9307236943055813,0.9186064958869762,0.9307236943055813,0.9186064958869762
30,0.9241417184206487,0.8941250816071954,0.9241417184206487,0.8941250816071954
84,0.927415977414766,0.9200167882335768,0.927415977414766,0.9200167882335768
50,0.9115004020716206,0.9048966527851141,0.9115004020716206,0.9048966527851141
92,0.9301376042530756,0.9210130083085503,0.9301376042530756,0.9210130083085503
