epoch,train_auc_overall,train_aupr_overall,val_auc_overall,val_aupr_overall,loss
1,0.4461814299829385,0.47467773396051305,0.452675453809689,0.4821950385740964,0.7200265526771545
2,0.5095465914336929,0.5394033098895068,0.5126951092611862,0.5489647806780668,0.707857608795166
3,0.5832348868008482,0.5951176358556751,0.5819031101861487,0.6027427974801731,0.697315514087677
4,0.6621900701569379,0.6455180172931243,0.6590334142675454,0.6518084014611407,0.6879168748855591
5,0.7191557602886864,0.6872230650140057,0.7153954214360041,0.6931219897721133,0.6793067455291748
6,0.753369058778597,0.7204352792988141,0.7481442941380506,0.7259187933231351,0.6707208156585693
7,0.7745941245867025,0.7456648198702001,0.768207307203145,0.7521033209169493,0.661922812461853
8,0.7896576402735821,0.7639872241845997,0.7827737310671755,0.772751302635328,0.6527457237243652
9,0.8008410248565547,0.7765396259234556,0.7938628743207307,0.7875048676035727,0.6430458426475525
10,0.8098560283995148,0.7856586833238288,0.8029621921609434,0.7982475702626421,0.632771909236908
11,0.817966593212368,0.793129908536891,0.8111920453231588,0.8063353864347016,0.6218230128288269
12,0.8255990041433348,0.8001219841099272,0.8192785293097468,0.8143175738579216,0.6101505756378174
13,0.8323467274102491,0.806240873792565,0.8272702046479361,0.8217116718869658,0.5977619290351868
14,0.8378026895843309,0.8110608427782566,0.8335206382240723,0.8277105116697412,0.5847586393356323
15,0.8420559053744775,0.814472650450783,0.8381292634986703,0.831257119092156,0.5713224411010742
16,0.8455845016802436,0.8169394589766015,0.8419840443981963,0.8335074210225624,0.5577053427696228
17,0.8486911842753597,0.8187883498439157,0.8452722858133889,0.8357395728530803,0.5441085696220398
18,0.8515530921607047,0.8202687302558598,0.8483073187651752,0.8371387989870132,0.5306916832923889
19,0.8545369961571405,0.8220299427659539,0.8514579720198867,0.8389014118571456,0.5176525712013245
20,0.8578072456408067,0.8244360066014429,0.8545404092958724,0.840442301943743,0.5049819350242615
21,0.861396192426182,0.8275669356845758,0.8576656260839404,0.8428910205590407,0.4925902783870697
22,0.8652248412431616,0.8311124402952338,0.8605283847843681,0.8452543507521485,0.4804012179374695
23,0.869261838623501,0.8349096819107472,0.8633888310787374,0.8478493333413479,0.4684616029262543
24,0.8737034630346387,0.8396564369895476,0.8665279223031565,0.8506539556034224,0.4568639397621155
25,0.8785985345068752,0.8449094259075497,0.8701526187998613,0.8547204557754535,0.44530707597732544
26,0.8838975314693123,0.8504822110466669,0.8742721701930859,0.8590204745636638,0.43365442752838135
27,0.8893097372971505,0.8561913004728072,0.8785235287316452,0.8640622826032156,0.421918660402298
28,0.8944695234215265,0.862001661527664,0.8824557752341312,0.8686157680090765,0.41063743829727173
29,0.8992034833973044,0.8677969797573933,0.8857740779280842,0.8733994456075523,0.40024325251579285
30,0.9032753959135369,0.8729372451537498,0.888352410683316,0.8771783967150208,0.39069223403930664
31,0.9064267702423603,0.8770671875999426,0.8898543184183142,0.8802749754457793,0.3819563090801239
32,0.9087312411641861,0.8801666267150877,0.8907353451266042,0.8819569401568298,0.37438899278640747
33,0.9103990370114113,0.8823070286528076,0.8917400855590242,0.8829473951872625,0.36791855096817017
34,0.911644649324679,0.8838115707888577,0.8927124523066249,0.8837152621773585,0.3622003197669983
35,0.9130190393081471,0.8855606738611105,0.8937079431148109,0.8845113136564033,0.35716426372528076
36,0.9149519185660309,0.8879209320912446,0.8949497051682275,0.8861982423132765,0.3526894450187683
37,0.9171183748664555,0.8903297458723204,0.8960978147762748,0.8880342381105772,0.3481670022010803
38,0.9191744104756487,0.8925087003828579,0.8973488264539253,0.8896603682810305,0.3438081443309784
39,0.9212130334874468,0.8947999418165532,0.8988206729101631,0.8912687598470896,0.3396901786327362
40,0.9232634297895291,0.8972697368535263,0.9006856283963464,0.8930926925187126,0.33553963899612427
41,0.9252128582102268,0.899602477889106,0.9023956526766101,0.89476499869904,0.3314282298088074
42,0.9269711887709755,0.9014120320281306,0.903678459937565,0.8949447513055105,0.3274995982646942
43,0.928396737253403,0.9022008324956606,0.9042640767718811,0.8940639028685362,0.32387787103652954
44,0.9298390777396204,0.9033583489993933,0.9048352410683316,0.8937430267823445,0.32064300775527954
45,0.9313960661488746,0.9050347494093695,0.9055093074343855,0.8940714659431418,0.31739434599876404
46,0.9329825912161074,0.9071067311218313,0.9063845531275293,0.8954552059650246,0.3141186833381653
