seed,test_auc_overall,test_aupr_overall,biomarker-connects-disease_auc,biomarker-connects-disease_aupr
72,0.9037843188606778,0.9163377857426226,0.9037843188606778,0.9163377857426226
13,0.9166344586339256,0.9304049005507194,0.9166344586339256,0.9304049005507194
98,0.9142549099463404,0.9153904137610162,0.9142549099463404,0.9153904137610162
69,0.9283228017873438,0.940866694382245,0.9283228017873438,0.940866694382245
81,0.9120841846829749,0.9201889933343204,0.9120841846829749,0.9201889933343204
42,0.9225876568050477,0.932532113106234,0.9225876568050477,0.932532113106234
30,0.9269602577873254,0.9267688447964213,0.9269602577873254,0.9267688447964213
84,0.9094144752705763,0.908270389764787,0.9094144752705763,0.908270389764787
50,0.9271021654181486,0.9310900145679613,0.9271021654181486,0.9310900145679613
92,0.9030701658242583,0.9023910213496797,0.9030701658242583,0.9023910213496797
