epoch,train_auc_overall,train_aupr_overall,val_auc_overall,val_aupr_overall,loss
1,0.5456753897348149,0.4878446407242546,0.5145991801661589,0.4750697866729778,0.7024442553520203
2,0.5420602505277722,0.4900341832972749,0.5784126189341698,0.5155678188400001,0.7006022930145264
3,0.5884647500886087,0.5224358678512702,0.5826300444990026,0.5193734382701272,0.6955766081809998
4,0.542632931781479,0.5088527871509483,0.5846219430731193,0.5205661005235753,0.6871619820594788
5,0.5545223215219407,0.5035057032501447,0.5943806885635141,0.5418931404263174,0.6886418461799622
6,0.5907936628453808,0.5353594565388113,0.5623349458501248,0.5185663463265724,0.6893041133880615
7,0.5979500384925605,0.5287753777938236,0.5782735956047861,0.5483277942890602,0.6852876543998718
8,0.6299332120041543,0.5726077143839385,0.5834393794829256,0.5349228098947132,0.6863688826560974
9,0.6100495462348532,0.5474702375421571,0.5855951063788056,0.5341970255021922,0.6840735673904419
10,0.6430810528393724,0.5826378686312479,0.6078919102266946,0.5830915554563095,0.682209849357605
11,0.66672529853292,0.6029762661751987,0.646240428445673,0.5749721340811295,0.6774250268936157
12,0.6679192971355021,0.610490064636326,0.6509406860714776,0.6044369055766666,0.6773780584335327
13,0.6588128019985452,0.599565969957887,0.6426200532788161,0.6078999713800419,0.678205668926239
14,0.630804948145866,0.6102653976770762,0.6551471512908402,0.6216428802454267,0.6702751517295837
15,0.6574611069942121,0.6313530204430503,0.6512452683034885,0.5993646132032588,0.6623609662055969
16,0.6605428227015705,0.6129514375130649,0.6672958289540023,0.6339571011566077,0.6646275520324707
17,0.6674171467619034,0.6530603370000598,0.6826132001785958,0.6378170913612355,0.6660152077674866
18,0.6688360996682261,0.6484875408264348,0.6739089552944815,0.6324311782318449,0.660361647605896
19,0.6991575624074653,0.6598855762780549,0.6840513128763293,0.6476058425948428,0.6549551486968994
20,0.7071106654505814,0.6796461519458968,0.6867867843615484,0.6407861400854886,0.6480262279510498
21,0.6814319401554294,0.6546999933314716,0.6876036185292139,0.6550257962530854,0.6423482298851013
22,0.6817748295718032,0.6748236363538129,0.6758818174790975,0.652005457234083,0.6484610438346863
23,0.721872965684497,0.6863366673206903,0.6896122460516798,0.6385427894928173,0.6326061487197876
24,0.7096583462227828,0.6771571734130102,0.707019582099333,0.6590918286714045,0.6323886513710022
25,0.711636079217508,0.6852817415938459,0.7187806096490267,0.6881878096142351,0.6215754151344299
26,0.7435239856874465,0.697457427291621,0.7348369389024194,0.6869311400610265,0.6159356236457825
27,0.7435778099924346,0.7019052474641546,0.7135369496320209,0.6748216060870804,0.6231001019477844
28,0.7373141301353004,0.698601418251948,0.7318153447144022,0.6987337628428123,0.6026225686073303
29,0.7321342825952969,0.7013847837302336,0.7317680421707944,0.6758834787427204,0.6067666411399841
30,0.7430565252852217,0.7064387861084123,0.7288802795695699,0.6607015667938015,0.6008960604667664
31,0.7575364232560633,0.7156334171487861,0.7360275785366438,0.6962650969155617,0.5974664092063904
32,0.7638641419872577,0.7275726526768342,0.7501237365317546,0.7077843316803684,0.5960408449172974
33,0.7548580571432847,0.7213865855363277,0.7431529568127777,0.7100551896560386,0.5831029415130615
34,0.7581731433838302,0.7149016735378075,0.7534752948044502,0.7209221097995947,0.590529203414917
35,0.7655579980804164,0.7269459891215029,0.7556627490161647,0.7114684715777531,0.5902982950210571
36,0.763897941780517,0.7369641460487004,0.7417696458423948,0.6991649677136191,0.5867488384246826
37,0.7805204714980344,0.7488099320404444,0.7604726100966701,0.7283922819173773,0.5656320452690125
38,0.7846176376582676,0.753974882985003,0.767839115973146,0.717329430265267,0.5679535269737244
39,0.7895482982680785,0.7568932198492975,0.7724193866590675,0.7307307745818398,0.5788183212280273
40,0.7906802002033959,0.7518118455823668,0.7698835088334617,0.7421400146589392,0.5643671751022339
41,0.7965439652946349,0.7648630699120353,0.7632380783168602,0.7323895685976367,0.5662656426429749
42,0.7862371863581048,0.7493368714620947,0.7798758827404556,0.7472137762437967,0.5560927391052246
43,0.7954295791872688,0.7712145014806429,0.7852764487557701,0.7493084837282397,0.565146803855896
44,0.800693238345514,0.7780772755520727,0.7822537008471769,0.7565680223578912,0.5618157982826233
45,0.8037479070249062,0.7836226137182403,0.794683886330834,0.7690215323410958,0.5606651306152344
46,0.8012524680188227,0.7904486465161518,0.7971482334807403,0.7796449129015153,0.5469387769699097
47,0.8094457393189102,0.785491601259902,0.7923977890098886,0.774219129313023,0.5462391972541809
48,0.810833050439524,0.7965948109927219,0.7952353647660659,0.7754616496617647,0.5374007225036621
49,0.8140687220022124,0.7941317289938525,0.808198569155742,0.785649137442215,0.5401082038879395
50,0.8099957165348463,0.7962204214697339,0.7968355752046988,0.7751418259910033,0.5325945019721985
51,0.8170587403720717,0.8074132348793077,0.7901301512181559,0.7648553425684285,0.5321625471115112
52,0.81742162732508,0.8058480684072735,0.7994660581175203,0.7811343959090518,0.5243812203407288
53,0.8171787345835763,0.804871149182586,0.8057238385206534,0.7940513286629582,0.5239798426628113
54,0.8227858226600828,0.810551314600112,0.8020573145307646,0.784442523036276,0.524837076663971
55,0.8174489261205936,0.8039765174634057,0.8155766122379757,0.7871481275592058,0.5220802426338196
56,0.8212558672403826,0.8173594382009424,0.8071382999465828,0.7833234517349705,0.5059291124343872
57,0.8293629890807155,0.8229600186322568,0.8159838756012325,0.7887262244841575,0.5092062950134277
58,0.8235648813691997,0.8300321846683465,0.8107125262904077,0.8072219501728032,0.5062417984008789
59,0.839112039957524,0.8361538148415174,0.8158073563531355,0.808684935064053,0.5087118744850159
60,0.8330050224568559,0.8399798944680572,0.8147770838789471,0.8226208009178988,0.5016496777534485
61,0.8316457924094927,0.8397213357209099,0.8152166514183263,0.8108327785378812,0.5007242560386658
62,0.841409436812361,0.8392562684500611,0.8182682423413145,0.8232322206324202,0.4964785873889923
63,0.8279407452128783,0.8275879735278007,0.8143029047222936,0.8149614232718101,0.49142590165138245
64,0.841480974762659,0.8470626319287612,0.8308587949850074,0.8247302675524097,0.49915292859077454
65,0.8460315473009449,0.8489271862706562,0.8352833133931961,0.8390695251132505,0.49396729469299316
66,0.845272459153368,0.8485539430916306,0.8257835781720682,0.816749841991078,0.49548158049583435
67,0.8497511970153172,0.8547394610724828,0.8256047514828194,0.8213052364829362,0.49218252301216125
68,0.8451294012361679,0.8522249983427852,0.82372072578254,0.8211200601692942,0.49545368552207947
69,0.8424677147234148,0.8480455113698255,0.8383787456980645,0.8459179968132282,0.4902007579803467
70,0.846203567477812,0.853783689839829,0.8253382420298098,0.8308151474827188,0.48707902431488037
71,0.8437828045246729,0.8478627040446525,0.8286678796115653,0.8305053470420842,0.4771304726600647
72,0.8506118463932384,0.8601138022069352,0.8305842094879673,0.8392299083999991,0.4939505457878113
73,0.8507605690802584,0.8589171794973776,0.8380949304364179,0.8376316690449526,0.4834308624267578
74,0.849898543972524,0.8530585476250008,0.8395416960384696,0.838534571695162,0.47559255361557007
75,0.84638912016036,0.854699682759283,0.8413888026803236,0.8458310077558446,0.4745640158653259
76,0.8496382073366539,0.8579078728790721,0.8371465721231113,0.842857738031534,0.4744628965854645
77,0.8512586282312093,0.8596900280600609,0.8306649699282731,0.8365468308507789,0.4691433310508728
78,0.8455433790179335,0.8529478056123421,0.8395220827886811,0.8420966120838705,0.4755341112613678
79,0.8563083479159195,0.8639765798286817,0.8345495471069879,0.8425917357016057,0.4784223139286041
80,0.8538185107377689,0.8616064767974518,0.8444265489564021,0.8511205966654416,0.4635288119316101
81,0.8580748928967366,0.8631168435327817,0.8435670271274318,0.8536321472361632,0.47110816836357117
82,0.8577823210230812,0.8625417486542564,0.8450760936405769,0.8566847143060735,0.4733806252479553
83,0.8596785083074928,0.8654773419567678,0.8539758941622893,0.8564499189950173,0.4730463922023773
84,0.8594168049335074,0.8646258682382152,0.837377316238271,0.8444013665072172,0.4667680561542511
85,0.8597237455407696,0.8636155544708335,0.8428494129292851,0.8391692964097577,0.46338900923728943
86,0.8564166798949533,0.8629207184851588,0.8462309679369516,0.8499328357846442,0.4663998782634735
87,0.8593224190782686,0.8680285662766265,0.8472773924992011,0.8506991703863189,0.4648660719394684
88,0.8545708191449582,0.8600825716442416,0.8416010872662707,0.8499941778776582,0.4662298858165741
89,0.8624181258679124,0.869881142419207,0.8510281380911232,0.851184747672732,0.4600200057029724
90,0.8574280750919729,0.8617626180522672,0.8628987690955177,0.864864488712137,0.4624284505844116
91,0.8631451586116667,0.8707592413071257,0.8480526927261379,0.8518387380639766,0.4599745571613312
92,0.8623358877968432,0.8670362906097748,0.8438473812273509,0.849145770670731,0.4564831852912903
93,0.8631672602056628,0.8688255294884638,0.8418133718522177,0.841756230705507,0.4597399830818176
94,0.8602944396291903,0.8619105238769958,0.8525695087803904,0.8608630638282483,0.46115022897720337
95,0.863272579965824,0.8689548460944799,0.8547823448447728,0.8572480378865747,0.45798954367637634
96,0.8634283341607794,0.8710787203801924,0.8469278151647339,0.8519749003826469,0.4677378535270691
97,0.8606544762138923,0.8705318161802755,0.8570713264671577,0.8618695347920119,0.4528188407421112
98,0.86991343458429,0.8727313194329782,0.8608682208821118,0.8646436416376191,0.4618927240371704
99,0.8699740925798547,0.8703910536478245,0.854688893478133,0.8626226673947455,0.4576997458934784
100,0.865180968984594,0.8690444125868773,0.8590130381962271,0.8601670404522432,0.4527120292186737
101,0.870088413029841,0.8756645857008711,0.8560860490954253,0.8600652271009899,0.4559607207775116
102,0.8657887088692977,0.8721352939473628,0.8604667261217337,0.8656736862128778,0.4496397376060486
103,0.869505948808572,0.8752843669150361,0.8561298904773057,0.8600875221070402,0.45313507318496704
104,0.8705878479106054,0.8753726976133731,0.8537197681944618,0.8583399991763188,0.4517950415611267
105,0.8733300550800855,0.8780885727257757,0.8634675533393865,0.8648122963684519,0.45839253067970276
106,0.8720547265679448,0.8736723749146452,0.8630545213732506,0.865484522948964,0.4543924927711487
107,0.8756951504301207,0.8805347088739877,0.8587026873613371,0.8663542052524218,0.4501589834690094
108,0.869982266033452,0.8737030779859314,0.8668387248618709,0.8706653339216832,0.4420284926891327
