seed,test_auc_overall,test_aupr_overall,chemical-connects-disease_auc,chemical-connects-disease_aupr,genetic-connects-disease_auc,genetic-connects-disease_aupr,protein-connects-disease_auc,protein-connects-disease_aupr
72,0.9365441091455661,0.9333957051321273,0.9131758412810347,0.9248729442724345,0.957342531570766,0.9418796775853003,0.7939646201873048,0.803451303212791
13,0.9383674413226963,0.9357492814373313,0.9087727143729415,0.9195604273401681,0.9627606274328439,0.948716150971441,0.8043704474505723,0.8336546357907562
98,0.9354838709677419,0.9342885176991442,0.9176993661905213,0.9258669035897175,0.956928225485284,0.9504540789008442,0.8303850156087409,0.8416179426655218
69,0.9366984622499709,0.9352264274437851,0.9219992948117061,0.9318413449944698,0.9560996133143203,0.9347429162856151,0.7554630593132154,0.7956390942639242
81,0.931734304543878,0.9234525988216787,0.9228764802504279,0.931912278174784,0.9365983222209375,0.9104765616839449,0.8647242455775235,0.8940629169258153
42,0.9387547693374957,0.9344325942597459,0.9215177028061334,0.9322925360550647,0.9547025346539741,0.9445071313473041,0.8355879292403746,0.7901210372480981
30,0.9351878829922534,0.9332771700125227,0.9128490467058247,0.9192852897727803,0.9550493955627496,0.9461990022469176,0.8969823100936525,0.9093151096383696
84,0.9268753613134467,0.9266388154736364,0.9083685210825501,0.9187475584994118,0.9360828483703961,0.9258871472952916,0.8782518210197711,0.9082487504645823
50,0.9386027286391491,0.9312228725742414,0.9253532391362305,0.9334045207778562,0.9506140722755361,0.9269137077037712,0.8928199791883455,0.8959649282532035
92,0.9387830963117123,0.9391374236556992,0.9162588901024243,0.9311712470694755,0.9562280803175705,0.9452445603541285,0.7991675338189386,0.8227747358424666
