seed,test_auc_overall,test_aupr_overall,chemical-connects-disease_auc,chemical-connects-disease_aupr,genetic-connects-disease_auc,genetic-connects-disease_aupr,protein-connects-disease_auc,protein-connects-disease_aupr
72,0.9354237484102208,0.9324635893808308,0.9017724305776524,0.9206447418544617,0.9569796122865842,0.9373575317473134,0.8428720083246617,0.8528388861029205
13,0.9374598219447335,0.9378717498940419,0.9118514632657098,0.9267782214797837,0.9569956706619904,0.9476509189840685,0.785639958376691,0.8108667274913836
98,0.9213573823563417,0.9180266687638131,0.8967071146618966,0.9059512278209975,0.9458704281805219,0.9333569082601378,0.7721123829344433,0.8061114917818502
69,0.9328881951670714,0.9355489435618138,0.9047393813262701,0.9181102796577196,0.9618163949589547,0.9539676339854906,0.7440166493236212,0.776104152486701
81,0.9266631980575789,0.9255945175557657,0.9019014284362881,0.9196001793251903,0.9414351048933082,0.9263546293273206,0.8428720083246618,0.8763328955589997
42,0.9331182795698924,0.9323717286805022,0.9016606324335017,0.9241603805725043,0.9510894001875619,0.9418675544220787,0.8595213319458896,0.8554075234902501
30,0.9424708058735113,0.9450197760414142,0.9126598498464925,0.9296739481599834,0.9640549324905898,0.9561497356324549,0.8199791883454735,0.860474358258553
84,0.9186345242224534,0.9203352182966025,0.8850027089550312,0.8951963487169295,0.9386120424968847,0.9355755582420496,0.8751300728407908,0.8941386992452385
50,0.9304306856283963,0.9288506728760638,0.8996568656960295,0.9165722014323823,0.9476561195256998,0.9366984464694482,0.9032258064516129,0.8951819098469612
92,0.9234952017574285,0.9310754473960839,0.8942217559188519,0.9193792221296472,0.9478263383050063,0.9386233294370347,0.8678459937565036,0.8774799933026578
