seed,test_auc_overall,test_aupr_overall,biomarker-connects-disease_auc,biomarker-connects-disease_aupr
72,0.9081984537836845,0.8984867439727846,0.9081984537836845,0.8984867439727846
13,0.9115765476296234,0.9015774783371165,0.9115765476296234,0.9015774783371165
98,0.8905949852381452,0.8896251229026324,0.8905949852381452,0.8896251229026324
69,0.9137438117312616,0.9040583314446979,0.9137438117312616,0.9040583314446979
81,0.9205582623122177,0.9122001625122129,0.9205582623122177,0.9122001625122129
42,0.9121972492994033,0.9028123751959669,0.9121972492994033,0.9028123751959669
30,0.9047580590266522,0.8942843640209395,0.9047580590266522,0.8942843640209395
84,0.9234996729202167,0.9126430907773386,0.9234996729202167,0.9126430907773386
50,0.9006761956294758,0.8842057166062366,0.9006761956294758,0.8842057166062366
92,0.9165560056347712,0.9031304727911998,0.9165560056347712,0.9031304727911998
