Dimentions,test_auc_overall,test_aupr_overall,chemical-connects-disease_auc,chemical-connects-disease_aupr,genetic-connects-disease_auc,genetic-connects-disease_aupr,protein-connects-disease_auc,protein-connects-disease_aupr
16,0.9484534952541704,0.9532076106906077,0.9179405629082452,0.936581399975304,0.9780642591950258,0.9790656769173797,0.777315296566077,0.7922266124123909
32,0.9349740009068244,0.9361454001012466,0.9019612872336789,0.9202075691331466,0.96410631929189,0.9632766372979966,0.8158168574401665,0.7859190409565602
48,0.9343521455164687,0.9302897116481769,0.899054409903902,0.9171185522323031,0.96119011831811,0.9510467645490751,0.809573361082206,0.8184680618378971
64,0.9444714286868007,0.9481191795448104,0.9162733832632264,0.9353060623568717,0.9717404709600339,0.971767343556847,0.8147762747138397,0.8274839682461766
96,0.93549144458507,0.9363879790272532,0.9217708012721862,0.9332945933257596,0.9575850130394008,0.9462854017690447,0.7950052029136316,0.8304799070227824
128,0.9142162603070513,0.9117252239620672,0.9032009849184365,0.9220726269762535,0.9504181600955794,0.9364644351679217,0.7970863683662851,0.8094555412415289
